code,obj,date
601818.SH,454147929,2019-01-30 02:08:00
601818.SH,454184583,2019-01-30 12:33:44
601828.SH,454320020,2019-01-31 18:07:19
601838.SH,454147929,2019-01-30 02:08:00
601838.SH,454219569,2019-01-30 19:04:38
601838.SH,454184583,2019-01-30 12:33:44
601857.SH,453997953,2019-01-28 17:33:02
601878.SH,454360291,2019-02-01 06:59:46
601886.SH,454054582,2019-01-29 09:09:18
601888.SH,454365640,2019-02-01 08:07:30
601888.SH,454046526,2019-01-29 07:49:01
601888.SH,454356918,2019-02-01 05:26:33
601898.SH,454225714,2019-01-30 20:11:36
601901.SH,453968724,2019-01-28 11:15:20
601933.SH,454329935,2019-01-31 20:05:31
601933.SH,454030866,2019-01-29 01:12:10
601997.SH,454161235,2019-01-30 09:05:48
603001.SH,453954720,2019-01-28 09:06:18
603019.SH,454050113,2019-01-29 08:25:41
603027.SH,454051341,2019-01-29 08:35:44
603085.SH,454049469,2019-01-29 08:19:10
603188.SH,454355754,2019-02-01 05:00:45
603225.SH,454360295,2019-02-01 06:59:47
603258.SH,454350077,2019-02-01 01:11:05
603508.SH,454267640,2019-01-31 08:42:48
603517.SH,454362349,2019-02-01 07:31:32
603603.SH,454351652,2019-02-01 02:08:40
603659.SH,454309604,2019-01-31 00:00:00
603660.SH,454175175,2019-01-30 10:46:13
603680.SH,454361918,2019-02-01 07:22:44
603707.SH,454362349,2019-02-01 07:31:32
603737.SH,454304391,2019-01-31 15:31:51
603799.SH,454049469,2019-01-29 08:19:10
603939.SH,453975486,2019-01-28 13:05:31
603988.SH,454347452,2019-02-01 00:13:16
603997.SH,454049469,2019-01-29 08:19:10
